mygrep n d matrix alg k throughputSH throughputMH
mygrep 128 4 skew-128-0.4 vermilion 3 1.1024305555555576 1
mygrep 128 4 skew-128-0.5 vermilion 2 0.9921875 1
mygrep 128 4 skew-128-0.5 vermilion 3 1.3229166666666665 1
mygrep 128 4 skew-128-0.6 vermilion 2 2.480468750000003 1
mygrep 128 4 skew-128-0.6 vermilion 3 0.8268229166666676 1
mygrep 128 4 skew-128-0.7 vermilion 2 1.6536458333333337 1
mygrep 128 4 skew-128-0.7 vermilion 3 2.2048611111111116 1
mygrep 128 4 skew-128-0.8 vermilion 2 7.441406250000042 1
mygrep 128 4 skew-128-0.8 vermilion 3 3.307291666666685 1
mygrep 128 4 skew-128-0.9 vermilion 2 4.960937500000013 1
mygrep 128 4 skew-128-0.9 vermilion 3 3.307291666666676 1
mygrep 256 4 chessboard-256 vermilion 2 1.6634114583333337 1
mygrep 256 4 chessboard-256 vermilion 3 0.8871527777777779 1
mygrep 256 4 uniform-256 vermilion 2 0.99609375 1
mygrep 256 4 uniform-256 vermilion 3 0.99609375 1
mygrep 256 4 permutation-256 vermilion 2 0.501953125 1
mygrep 256 4 permutation-256 vermilion 3 0.66796875 1
mygrep 256 4 skew-256-0.1 vermilion 2 0.5533854166666679 1
mygrep 256 4 skew-256-0.1 vermilion 3 0.7378472222222238 1
mygrep 256 4 skew-256-0.2 vermilion 2 0.6225585937500031 1
mygrep 256 4 skew-256-0.2 vermilion 3 1.6601562500000082 1
mygrep 256 4 skew-256-0.3 vermilion 2 2.1344866071428577 1
mygrep 256 4 skew-256-0.3 vermilion 3 0.9486607142857144 1
mygrep 256 4 skew-256-0.4 vermilion 2 1.660156250000002 1
mygrep 256 4 skew-256-0.4 vermilion 3 1.1067708333333346 1
mygrep 256 4 skew-256-0.5 vermilion 2 0.99609375 1
mygrep 256 4 skew-256-0.5 vermilion 3 1.328125 1
mygrep 256 4 skew-256-0.6 vermilion 2 1.245117187500005 1
mygrep 256 4 skew-256-0.6 vermilion 3 1.6601562500000069 1
mygrep 256 4 skew-256-0.7 vermilion 2 4.98046875000005 1
mygrep 256 4 skew-256-0.7 vermilion 3 2.2135416666666887 1
mygrep 256 4 skew-256-0.8 vermilion 2 4.980468750000003 1
mygrep 256 4 skew-256-0.8 vermilion 3 3.3203125000000018 1
mygrep 256 4 skew-256-0.9 vermilion 2 4.980468750000003 1
mygrep 256 4 skew-256-0.9 vermilion 3 6.640625000000003 1
