N matrix d Alg RRGIter throughput
16 data-parallelism 6 RRG 10 0.4954438748221146
16 data-parallelism 6 Floor NA 0.92
16 data-parallelism 6 Rounding NA 0.8200000000000001
16 data-parallelism 6 Alt_Rounding NA 1.0
16 data-parallelism 6 Circle NA 1.0
16 data-parallelism 6 Chord NA 0.6539707927528713
16 data-parallelism 8 RRG 10 0.5324122750496992
16 data-parallelism 8 Floor NA 0.95
16 data-parallelism 8 Rounding NA 0.86
16 data-parallelism 8 Alt_Rounding NA 1.0
16 data-parallelism 8 Circle NA 1.0
16 data-parallelism 8 Chord NA 0.7684216334334856
16 data-parallelism 10 RRG 10 0.5607004541145462
16 data-parallelism 10 Floor NA 0.95
16 data-parallelism 10 Rounding NA 0.89
16 data-parallelism 10 Alt_Rounding NA 1.0
16 data-parallelism 10 Circle NA 1.0
16 data-parallelism 10 Chord NA 0.8367257786275729
16 data-parallelism 12 RRG 10 0.5852055786035655
16 data-parallelism 12 Floor NA 0.98
16 data-parallelism 12 Rounding NA 0.91
16 data-parallelism 12 Alt_Rounding NA 1.0
16 data-parallelism 12 Circle NA 1.0
16 data-parallelism 12 Chord NA 0.8813904801921207
16 data-parallelism 14 RRG 10 0.5967513281766094
16 data-parallelism 14 Floor NA 0.97
16 data-parallelism 14 Rounding NA 0.92
16 data-parallelism 14 Alt_Rounding NA 1.0
16 data-parallelism 14 Circle NA 1.0
16 data-parallelism 14 Chord NA 0.911274444278689
16 Sinkhorn_data-parallelism 4 RRG 10 0.3840558415863619
16 Sinkhorn_data-parallelism 4 Floor NA 0.81
16 Sinkhorn_data-parallelism 4 Rounding NA 0.81
16 Sinkhorn_data-parallelism 4 Alt_Rounding NA 0.81
16 Sinkhorn_data-parallelism 4 Circle NA 0.9999079655596624
16 Sinkhorn_data-parallelism 4 Chord NA 0.3593809549949517
16 Sinkhorn_data-parallelism 6 RRG 10 0.4317635843697656
16 Sinkhorn_data-parallelism 6 Floor NA 0.87
16 Sinkhorn_data-parallelism 6 Rounding NA 0.87
16 Sinkhorn_data-parallelism 6 Alt_Rounding NA 0.87
16 Sinkhorn_data-parallelism 6 Circle NA 0.9999079655596624
16 Sinkhorn_data-parallelism 6 Chord NA 0.5729261601368795
16 Sinkhorn_data-parallelism 8 RRG 10 0.4745211216890791
16 Sinkhorn_data-parallelism 8 Floor NA 0.9
16 Sinkhorn_data-parallelism 8 Rounding NA 0.9
16 Sinkhorn_data-parallelism 8 Alt_Rounding NA 0.9
16 Sinkhorn_data-parallelism 8 Circle NA 0.9999079655596624
16 Sinkhorn_data-parallelism 8 Chord NA 0.6796987627078435
16 Sinkhorn_data-parallelism 10 RRG 10 0.4918439288945663
16 Sinkhorn_data-parallelism 10 Floor NA 0.92
16 Sinkhorn_data-parallelism 10 Rounding NA 0.92
16 Sinkhorn_data-parallelism 10 Alt_Rounding NA 0.92
16 Sinkhorn_data-parallelism 10 Circle NA 0.9999079655596625
16 Sinkhorn_data-parallelism 10 Chord NA 0.7437623242504219
16 Sinkhorn_data-parallelism 12 RRG 10 0.5072482470827466
16 Sinkhorn_data-parallelism 12 Floor NA 0.9299999999999999
16 Sinkhorn_data-parallelism 12 Rounding NA 0.9299999999999999
16 Sinkhorn_data-parallelism 12 Alt_Rounding NA 0.9299999999999999
16 Sinkhorn_data-parallelism 12 Circle NA 0.9999079655596624
