N matrix d Alg throughput SH
8 skew-8-0.5 4 RRG 0.5769006773136061 0.2739897458590802
8 skew-8-0.5 4 Floor 0.6724999999999999 0.441477315710767
8 skew-8-0.5 4 Rounding 0.625 0.3724174107142857
8 skew-8-0.5 4 Circle 0.24999999999999978 0.017857142857142797
8 skew-8-0.5 5 RRG 0.6329902301033066 0.32864096773406176
8 skew-8-0.5 5 Floor 0.73 0.5281305803571429
8 skew-8-0.5 5 Rounding 0.7124999999999999 0.5092791192162519
8 skew-8-0.5 5 Circle 0.24999999999999983 0.017857142857142808
8 skew-8-0.5 6 RRG 0.6712931926339747 0.3974756879784812
8 skew-8-0.5 6 Floor 0.7825 0.5915800736961452
8 skew-8-0.5 6 Rounding 0.76 0.5532853835978839
8 skew-8-0.5 6 Circle 0.25000000000000017 0.017857142857142905
8 skew-8-0.5 7 RRG 0.727272727272727 0.45454545454545403
8 skew-8-0.5 7 Floor 0.8075000000000001 0.6402661401098901
8 skew-8-0.5 7 Rounding 0.78 0.5989866071428579
8 skew-8-0.5 7 Circle 0.24999999999999997 0.017857142857142856
8 skew-8-0.6 2 RRG 0.38988956354230275 0.1264469655242646
8 skew-8-0.6 2 Floor 0.4275 0.23919464285714256
8 skew-8-0.6 2 Rounding 0.605 0.4388504464285712
8 skew-8-0.6 2 Circle 0.25000000000000017 0.014285714285714292
8 skew-8-0.6 3 RRG 0.5027828498111291 0.19469178248842817
8 skew-8-0.6 3 Floor 0.625 0.40497178130511413
8 skew-8-0.6 3 Rounding 0.62 0.42642261904761875
8 skew-8-0.6 3 Circle 0.2500000000000001 0.014285714285714223
8 skew-8-0.6 4 RRG 0.5673893717128018 0.24868856700440028
8 skew-8-0.6 4 Floor 0.6824999999999999 0.4550683379120875
8 skew-8-0.6 4 Rounding 0.6499999999999999 0.4255900297619051
8 skew-8-0.6 4 Circle 0.25000000000000017 0.014285714285714292
8 skew-8-0.6 5 RRG 0.608784386717158 0.29200011704297824
8 skew-8-0.6 5 Floor 0.7525 0.5572251984126986
8 skew-8-0.6 5 Rounding 0.7150000000000001 0.508759300595238
8 skew-8-0.6 5 Circle 0.24999999999999994 0.0142857142857143
8 skew-8-0.6 6 RRG 0.63388806554524 0.31821921113687796
8 skew-8-0.6 6 Floor 0.785 0.6114642857142851
8 skew-8-0.6 6 Rounding 0.7675 0.5780059523809518
8 skew-8-0.6 6 Circle 0.25000000000000017 0.014285714285714223
8 skew-8-0.6 7 RRG 0.6896551724137929 0.37931034482758597
8 skew-8-0.6 7 Floor 0.8175000000000001 0.6561092352092353
8 skew-8-0.6 7 Rounding 0.7675 0.596399226190476
8 skew-8-0.6 7 Circle 0.25000000000000006 0.014285714285714252
8 skew-8-0.7 2 RRG 0.3998781586143194 0.14554276791164777
8 skew-8-0.7 2 Floor 0.43500000000000005 0.23451607142857178
8 skew-8-0.7 2 Rounding 0.625 0.5146488095238088
8 skew-8-0.7 2 Circle 0.2500000000000001 0.010714285714285664
8 skew-8-0.7 3 RRG 0.4720361459476282 0.13615299573449993
8 skew-8-0.7 3 Floor 0.6224999999999999 0.43812152777777835
8 skew-8-0.7 3 Rounding 0.6225 0.4643779761904767
8 skew-8-0.7 3 Circle 0.25000000000000017 0.010714285714285697
8 skew-8-0.7 4 RRG 0.5507134044824927 0.22836798341504977
8 skew-8-0.7 4 Floor 0.71 0.5405103896103889
8 skew-8-0.7 4 Rounding 0.73 0.56445238095238
8 skew-8-0.7 4 Circle 0.2500000000000001 0.010714285714285664
8 skew-8-0.7 5 RRG 0.5785863810041946 0.24913758865374996
8 skew-8-0.7 5 Floor 0.74 0.5597500000000004
8 skew-8-0.7 5 Rounding 0.7275 0.5290334821428575
8 skew-8-0.7 5 Circle 0.24999999999999992 0.01071428571428571
8 skew-8-0.7 6 RRG 0.6100454181138178 0.28331285065455625
8 skew-8-0.7 6 Floor 0.78 0.6132495152417028
