N matrix d Alg throughput
8 skew-8-0.5 7 RRG 0.727272727272727
8 skew-8-0.5 7 Floor 0.8075000000000001
8 skew-8-0.5 7 Rounding 0.78
8 skew-8-0.5 7 Circle 0.24999999999999997
8 skew-8-0.6 2 RRG 0.38988956354230275
8 skew-8-0.6 2 Floor 0.4275
8 skew-8-0.6 2 Rounding 0.605
8 skew-8-0.6 2 Circle 0.25000000000000017
8 skew-8-0.6 3 RRG 0.5027828498111291
8 skew-8-0.6 3 Floor 0.625
8 skew-8-0.6 3 Rounding 0.62
8 skew-8-0.6 3 Circle 0.2500000000000001
8 skew-8-0.6 4 RRG 0.5673893717128018
8 skew-8-0.6 4 Floor 0.6824999999999999
8 skew-8-0.6 4 Rounding 0.6499999999999999
8 skew-8-0.6 4 Circle 0.25000000000000017
8 skew-8-0.6 5 RRG 0.608784386717158
8 skew-8-0.6 5 Floor 0.7525
8 skew-8-0.6 5 Rounding 0.7150000000000001
8 skew-8-0.6 5 Circle 0.24999999999999994
8 skew-8-0.6 6 RRG 0.63388806554524
8 skew-8-0.6 6 Floor 0.785
8 skew-8-0.6 6 Rounding 0.7675
8 skew-8-0.6 6 Circle 0.25000000000000017
8 skew-8-0.6 7 RRG 0.6896551724137929
8 skew-8-0.6 7 Floor 0.8175000000000001
8 skew-8-0.6 7 Rounding 0.7675
8 skew-8-0.6 7 Circle 0.25000000000000006
8 skew-8-0.7 2 RRG 0.3998781586143194
8 skew-8-0.7 2 Floor 0.43500000000000005
8 skew-8-0.7 2 Rounding 0.625
8 skew-8-0.7 2 Circle 0.2500000000000001
8 skew-8-0.7 3 RRG 0.4720361459476282
8 skew-8-0.7 3 Floor 0.6224999999999999
8 skew-8-0.7 3 Rounding 0.6225
8 skew-8-0.7 3 Circle 0.25000000000000017
8 skew-8-0.7 4 RRG 0.5507134044824927
8 skew-8-0.7 4 Floor 0.71
8 skew-8-0.7 4 Rounding 0.73
8 skew-8-0.7 4 Circle 0.2500000000000001
8 skew-8-0.7 5 RRG 0.5785863810041946
8 skew-8-0.7 5 Floor 0.74
8 skew-8-0.7 5 Rounding 0.7275
8 skew-8-0.7 5 Circle 0.24999999999999992
8 skew-8-0.7 6 RRG 0.6100454181138178
8 skew-8-0.7 6 Floor 0.78
8 skew-8-0.7 6 Rounding 0.77
8 skew-8-0.7 6 Circle 0.25000000000000017
8 skew-8-0.7 7 RRG 0.6557377049180328
8 skew-8-0.7 7 Floor 0.8175000000000001
8 skew-8-0.7 7 Rounding 0.8025
8 skew-8-0.7 7 Circle 0.24999999999999992
8 skew-8-0.8 2 RRG 0.3763824048572016
8 skew-8-0.8 2 Floor 0.63
8 skew-8-0.8 2 Rounding 0.63
8 skew-8-0.8 2 Circle 0.2500000000000001
8 skew-8-0.8 3 RRG 0.46410195793548625
8 skew-8-0.8 3 Floor 0.6275
8 skew-8-0.8 3 Rounding 0.635
8 skew-8-0.8 3 Circle 0.25000000000000006
8 skew-8-0.8 4 RRG 0.5211442706715752
8 skew-8-0.8 4 Floor 0.7074999999999999
8 skew-8-0.8 4 Rounding 0.71
8 skew-8-0.8 4 Circle 0.2500000000000001
8 skew-8-0.8 5 RRG 0.5679897279827955
8 skew-8-0.8 5 Floor 0.7575
8 skew-8-0.8 5 Rounding 0.765
8 skew-8-0.8 5 Circle 0.25000000000000006
8 skew-8-0.8 6 RRG 0.5776540501589326
8 skew-8-0.8 6 Floor 0.8049999999999999
8 skew-8-0.8 6 Rounding 0.7625000000000001
8 skew-8-0.8 6 Circle 0.25000000000000006
8 skew-8-0.8 7 RRG 0.6249999999999999
8 skew-8-0.8 7 Floor 0.8225
8 skew-8-0.8 7 Rounding 0.8
8 skew-8-0.8 7 Circle 0.25000000000000006
8 skew-8-0.9 2 RRG 0.3748069883246521
8 skew-8-0.9 2 Floor 0.63
8 skew-8-0.9 2 Rounding 0.63
8 skew-8-0.9 2 Circle 0.2500000000000001
8 skew-8-0.9 3 RRG 0.4496428179167987
8 skew-8-0.9 3 Floor 0.75
8 skew-8-0.9 3 Rounding 0.75
8 skew-8-0.9 3 Circle 0.25000000000000006
