mygrep n d matrix alg k throughputSH throughputMH
mygrep 32 4 chessboard-32 rotornet 1 0.65625 0.751358695652174
mygrep 32 4 chessboard-32 vermilion 2 0.65625 1
mygrep 32 4 chessboard-32 vermilion 3 0.875 1
mygrep 32 4 chessboard-32 vermilion 4 0.8203125 1
mygrep 32 4 chessboard-32 vermilion 5 0.9187500000000002 1
mygrep 32 4 chessboard-32 vermilion 6 0.875 1
mygrep 32 4 uniform-32 rotornet 1 0.96875 0.9687500000000001
mygrep 32 4 uniform-32 vermilion 2 0.96875 1
mygrep 32 4 uniform-32 vermilion 3 0.96875 1
mygrep 32 4 uniform-32 vermilion 4 0.96875 1
mygrep 32 4 uniform-32 vermilion 5 0.96875 1
mygrep 32 4 uniform-32 vermilion 6 0.96875 1
mygrep 32 4 permutation-32 rotornet 1 0.03125 0.5
mygrep 32 4 permutation-32 vermilion 2 0.515625 1
mygrep 32 4 permutation-32 vermilion 3 0.6770833333333333 1
mygrep 32 4 permutation-32 vermilion 4 0.7578125 1
mygrep 32 4 permutation-32 vermilion 5 0.80625 1
mygrep 32 4 permutation-32 vermilion 6 0.8385416666666666 1
mygrep 32 4 skew-32-0.1 rotornet 1 0.2421875000000001 0.8857142857142863
mygrep 32 4 skew-32-0.1 vermilion 2 0.5381944444444446 1
mygrep 32 4 skew-32-0.1 vermilion 3 0.7175925925925929 1
mygrep 32 4 skew-32-0.1 vermilion 4 0.7871093750000003 1
mygrep 32 4 skew-32-0.1 vermilion 5 0.8234375000000005 1
mygrep 32 4 skew-32-0.1 vermilion 6 0.8476562500000003 1
mygrep 32 4 skew-32-0.2 rotornet 1 0.13839285714285715 0.8157894736842107
mygrep 32 4 skew-32-0.2 vermilion 2 0.5535714285714286 1
mygrep 32 4 skew-32-0.2 vermilion 3 0.6919642857142857 1
mygrep 32 4 skew-32-0.2 vermilion 4 0.7611607142857143 1
mygrep 32 4 skew-32-0.2 vermilion 5 0.8026785714285716 1
mygrep 32 4 skew-32-0.2 vermilion 6 0.853422619047619 1
mygrep 32 4 skew-32-0.3 rotornet 1 0.09687500000000002 0.7560975609756099
mygrep 32 4 skew-32-0.3 vermilion 2 0.5328125000000001 1
mygrep 32 4 skew-32-0.3 vermilion 3 0.6781250000000001 1
mygrep 32 4 skew-32-0.3 vermilion 4 0.7507812500000002 1
mygrep 32 4 skew-32-0.3 vermilion 5 0.8137500000000002 1
mygrep 32 4 skew-32-0.3 vermilion 6 0.8395833333333335 1
mygrep 32 4 skew-32-0.4 rotornet 1 0.07451923076923087 0.7045454545454558
mygrep 32 4 skew-32-0.4 vermilion 2 0.5216346153846161 1
mygrep 32 4 skew-32-0.4 vermilion 3 0.6706730769230778 1
mygrep 32 4 skew-32-0.4 vermilion 4 0.7638221153846164 1
mygrep 32 4 skew-32-0.4 vermilion 5 0.8048076923076934 1
mygrep 32 4 skew-32-0.4 vermilion 6 0.844551282051283 1
mygrep 32 4 skew-32-0.5 rotornet 1 0.060546874999999986 0.6595744680851066
mygrep 32 4 skew-32-0.5 vermilion 2 0.5146484374999999 1
mygrep 32 4 skew-32-0.5 vermilion 3 0.6861979166666665 1
mygrep 32 4 skew-32-0.5 vermilion 4 0.7568359374999999 1
mygrep 32 4 skew-32-0.5 vermilion 5 0.8113281249999998 1
mygrep 32 4 skew-32-0.5 vermilion 6 0.8375651041666664 1
mygrep 32 4 skew-32-0.6 rotornet 1 0.05098684210526321 0.62
mygrep 32 4 skew-32-0.6 vermilion 2 0.5098684210526321 1
mygrep 32 4 skew-32-0.6 vermilion 3 0.6798245614035094 1
mygrep 32 4 skew-32-0.6 vermilion 4 0.7520559210526324 1
mygrep 32 4 skew-32-0.6 vermilion 5 0.8055921052631588 1
mygrep 32 4 skew-32-0.6 vermilion 6 0.841282894736843 1
mygrep 32 4 skew-32-0.7 rotornet 1 0.04403409090909091 0.5849056603773588
mygrep 32 4 skew-32-0.7 vermilion 2 0.5063920454545455 1
mygrep 32 4 skew-32-0.7 vermilion 3 0.6751893939393939 1
mygrep 32 4 skew-32-0.7 vermilion 4 0.7705965909090909 1
mygrep 32 4 skew-32-0.7 vermilion 5 0.8014204545454546 1
mygrep 32 4 skew-32-0.7 vermilion 6 0.8366477272727274 1
mygrep 32 4 skew-32-0.8 rotornet 1 0.03875000000000002 0.5535714285714287
mygrep 32 4 skew-32-0.8 vermilion 2 0.5037500000000003 1
mygrep 32 4 skew-32-0.8 vermilion 3 0.671666666666667 1
mygrep 32 4 skew-32-0.8 vermilion 4 0.7556250000000003 1
mygrep 32 4 skew-32-0.8 vermilion 5 0.8060000000000004 1
mygrep 32 4 skew-32-0.8 vermilion 6 0.8395833333333337 1
mygrep 32 4 skew-32-0.9 rotornet 1 0.03459821428571428 0.5254237288135597
mygrep 32 4 skew-32-0.9 vermilion 2 0.5016741071428571 1
mygrep 32 4 skew-32-0.9 vermilion 3 0.6688988095238094 1
mygrep 32 4 skew-32-0.9 vermilion 4 0.7525111607142856 1
mygrep 32 4 skew-32-0.9 vermilion 5 0.8026785714285715 1
mygrep 32 4 skew-32-0.9 vermilion 6 0.8361235119047618 1
mygrep 48 4 chessboard-48 rotornet 1 0.6597222222222222 0.7573017148981772
mygrep 48 4 chessboard-48 vermilion 2 0.6597222222222222 1
mygrep 48 4 chessboard-48 vermilion 3 0.8796296296296295 1
mygrep 48 4 chessboard-48 vermilion 4 0.8246527777777777 1
mygrep 48 4 chessboard-48 vermilion 5 0.923611111111111 1
mygrep 48 4 chessboard-48 vermilion 6 0.8796296296296295 1
mygrep 48 4 uniform-48 rotornet 1 0.9791666666666671 0.9791666666666666
mygrep 48 4 uniform-48 vermilion 2 0.9791666666666671 1
mygrep 48 4 uniform-48 vermilion 3 0.9791666666666671 1
mygrep 48 4 uniform-48 vermilion 4 0.9791666666666671 1
mygrep 48 4 uniform-48 vermilion 5 0.9791666666666671 1
mygrep 48 4 uniform-48 vermilion 6 0.9791666666666671 1
mygrep 48 4 permutation-48 rotornet 1 0.020833333333333332 0.4999999999999999
mygrep 48 4 permutation-48 vermilion 2 0.5104166666666666 1
mygrep 48 4 permutation-48 vermilion 3 0.673611111111111 1
mygrep 48 4 permutation-48 vermilion 4 0.7552083333333333 1
mygrep 48 4 permutation-48 vermilion 5 0.8041666666666667 1
mygrep 48 4 permutation-48 vermilion 6 0.8368055555555555 1
mygrep 48 4 skew-48-0.1 rotornet 1 0.17485119047619047 0.8935361216730043
mygrep 48 4 skew-48-0.1 vermilion 2 0.5245535714285714 1
mygrep 48 4 skew-48-0.1 vermilion 3 0.6994047619047619 1
mygrep 48 4 skew-48-0.1 vermilion 4 0.7868303571428571 1
mygrep 48 4 skew-48-0.1 vermilion 5 0.804315476190476 1
mygrep 48 4 skew-48-0.1 vermilion 6 0.8451140873015872 1
mygrep 48 4 skew-48-0.2 rotornet 1 0.09599673202614388 0.8216783216783219
