N matrix d Alg throughput
16 permutation-16 6 Floor 1.00000
16 permutation-16 6 Rounding 1.00000
16 permutation-16 8 Floor 1.00000
16 permutation-16 8 Rounding 1.00000
16 permutation-16 10 Floor 1.00000
16 permutation-16 10 Rounding 1.00000
16 permutation-16 12 Floor 1.00000
16 permutation-16 12 Rounding 1.00000
16 permutation-16 14 Floor 1.00000
16 permutation-16 14 Rounding 1.00000
16 random-skewed-16 4 Floor 0.63577
16 random-skewed-16 4 Rounding 0.76471
16 random-skewed-16 6 Floor 0.73054
16 random-skewed-16 6 Rounding 0.81064
16 random-skewed-16 8 Floor 0.78560
16 random-skewed-16 8 Rounding 0.85463
16 random-skewed-16 10 Floor 0.82138
16 random-skewed-16 10 Rounding 0.87876
16 random-skewed-16 12 Floor 0.84489
16 random-skewed-16 12 Rounding 0.88027
16 random-skewed-16 14 Floor 0.86540
16 random-skewed-16 14 Rounding 0.91918
16 skew-16-0.1 4 Floor 0.50427
16 skew-16-0.1 4 Rounding 0.55479
16 skew-16-0.1 6 Floor 0.62516
16 skew-16-0.1 6 Rounding 0.64171
16 skew-16-0.1 8 Floor 0.69686
16 skew-16-0.1 8 Rounding 0.70423
16 skew-16-0.1 10 Floor 0.74850
16 skew-16-0.1 10 Rounding 0.75342
16 skew-16-0.1 12 Floor 0.80774
16 skew-16-0.1 12 Rounding 0.80846
16 skew-16-0.1 14 Floor 0.88981
16 skew-16-0.1 14 Rounding 0.89286
16 skew-16-0.2 4 Floor 0.53108
16 skew-16-0.2 4 Rounding 0.56070
16 skew-16-0.2 6 Floor 0.65280
16 skew-16-0.2 6 Rounding 0.65007
16 skew-16-0.2 8 Floor 0.69714
16 skew-16-0.2 8 Rounding 0.70093
16 skew-16-0.2 10 Floor 0.75758
16 skew-16-0.2 10 Rounding 0.75758
16 skew-16-0.2 12 Floor 0.79341
16 skew-16-0.2 12 Rounding 0.78947
16 skew-16-0.2 14 Floor 0.84727
16 skew-16-0.2 14 Rounding 0.85916
16 skew-16-0.3 4 Floor 0.56594
16 skew-16-0.3 4 Rounding 0.58411
16 skew-16-0.3 6 Floor 0.64948
16 skew-16-0.3 6 Rounding 0.65307
16 skew-16-0.3 8 Floor 0.71896
16 skew-16-0.3 8 Rounding 0.71797
16 skew-16-0.3 10 Floor 0.75027
16 skew-16-0.3 10 Rounding 0.75377
16 skew-16-0.3 12 Floor 0.78904
16 skew-16-0.3 12 Rounding 0.78448
16 skew-16-0.3 14 Floor 0.83265
16 skew-16-0.3 14 Rounding 0.83851
16 skew-16-0.4 4 Floor 0.58333
16 skew-16-0.4 4 Rounding 0.58444
16 skew-16-0.4 6 Floor 0.67136
16 skew-16-0.4 6 Rounding 0.67756
16 skew-16-0.4 8 Floor 0.72206
16 skew-16-0.4 8 Rounding 0.73089
16 skew-16-0.4 10 Floor 0.75680
16 skew-16-0.4 10 Rounding 0.75758
16 skew-16-0.4 12 Floor 0.78976
16 skew-16-0.4 12 Rounding 0.78779
16 skew-16-0.4 14 Floor 0.82328
16 skew-16-0.4 14 Rounding 0.81879
16 skew-16-0.5 4 Floor 0.58378
16 skew-16-0.5 4 Rounding 0.62309
16 skew-16-0.5 6 Floor 0.68559
16 skew-16-0.5 6 Rounding 0.67873
16 skew-16-0.5 8 Floor 0.73597
16 skew-16-0.5 8 Rounding 0.73398
16 skew-16-0.5 10 Floor 0.77349
16 skew-16-0.5 10 Rounding 0.76777
16 skew-16-0.5 12 Floor 0.79815
16 skew-16-0.5 12 Rounding 0.79201
16 skew-16-0.5 14 Floor 0.82018
16 skew-16-0.5 14 Rounding 0.81481
16 skew-16-0.6 4 Floor 0.63152
16 skew-16-0.6 4 Rounding 0.66176
16 skew-16-0.6 6 Floor 0.71099
16 skew-16-0.6 6 Rounding 0.71435
16 skew-16-0.6 8 Floor 0.75247
16 skew-16-0.6 8 Rounding 0.75592
16 skew-16-0.6 10 Floor 0.78975
16 skew-16-0.6 10 Rounding 0.78668
16 skew-16-0.6 12 Floor 0.80958
16 skew-16-0.6 12 Rounding 0.80287
16 skew-16-0.6 14 Floor 0.82634
16 skew-16-0.6 14 Rounding 0.82418
16 skew-16-0.7 4 Floor 0.65299
16 skew-16-0.7 4 Rounding 0.66998
16 skew-16-0.7 6 Floor 0.72101
16 skew-16-0.7 6 Rounding 0.73134
16 skew-16-0.7 8 Floor 0.76347
16 skew-16-0.7 8 Rounding 0.78314
16 skew-16-0.7 10 Floor 0.80977
16 skew-16-0.7 10 Rounding 0.80468
16 skew-16-0.7 12 Floor 0.82256
16 skew-16-0.7 12 Rounding 0.81380
16 skew-16-0.7 14 Floor 0.83749
16 skew-16-0.7 14 Rounding 0.83692
16 skew-16-0.8 4 Floor 0.69444
16 skew-16-0.8 4 Rounding 0.69510
16 skew-16-0.8 6 Floor 0.76244
16 skew-16-0.8 6 Rounding 0.77990
16 skew-16-0.8 8 Floor 0.79082
16 skew-16-0.8 8 Rounding 0.80420
16 skew-16-0.8 10 Floor 0.82543
16 skew-16-0.8 10 Rounding 0.83013
16 skew-16-0.8 12 Floor 0.84509
16 skew-16-0.8 12 Rounding 0.83903
16 skew-16-0.8 14 Floor 0.86128
16 skew-16-0.8 14 Rounding 0.86190
16 skew-16-0.9 4 Floor 0.81269
16 skew-16-0.9 4 Rounding 0.81269
16 skew-16-0.9 6 Floor 0.81967
16 skew-16-0.9 6 Rounding 0.81967
16 skew-16-0.9 8 Floor 0.82882
16 skew-16-0.9 8 Rounding 0.83255
16 skew-16-0.9 10 Floor 0.85874
16 skew-16-0.9 10 Rounding 0.86698
16 skew-16-0.9 12 Floor 0.87404
16 skew-16-0.9 12 Rounding 0.88710
16 skew-16-0.9 14 Floor 0.87780
16 skew-16-0.9 14 Rounding 0.89204
