N matrix d Alg throughput
16 Sinkhorn_topoopt 6 Circle 0.26550762109950965
16 Sinkhorn_topoopt 8 RRG 0.5549790952098468
16 Sinkhorn_topoopt 8 Circle 0.26550762109950876
16 Sinkhorn_topoopt 10 RRG 0.5694075272198764
16 Sinkhorn_topoopt 10 Circle 0.2655076210995087
16 Sinkhorn_topoopt 12 RRG 0.5632051798925534
16 Sinkhorn_topoopt 12 Circle 0.2655076210995088
16 Sinkhorn_topoopt 14 RRG 0.5674055970315961
16 Sinkhorn_topoopt 14 Circle 0.26550762109950876
16 chessboard-16 4 RRG 0.4863469539429871
16 chessboard-16 4 Circle 0.1250000000000001
16 chessboard-16 6 RRG 0.596489104425995
16 chessboard-16 6 Circle 0.1249999999999999
16 chessboard-16 8 RRG 0.6523542723723039
16 chessboard-16 8 Circle 0.1250000000000001
16 chessboard-16 10 RRG 0.7101743322948006
16 chessboard-16 10 Circle 0.12499999999999989
16 chessboard-16 12 RRG 0.7509357308337932
16 chessboard-16 12 Circle 0.1249999999999999
16 chessboard-16 14 RRG 0.7822754200433556
16 chessboard-16 14 Circle 0.12499999999999983
16 uniform-16 4 RRG 0.4800840176760633
16 uniform-16 4 Circle 0.12500000000000014
16 uniform-16 6 RRG 0.5961398854960684
16 uniform-16 6 Circle 0.12500000000000028
16 uniform-16 8 RRG 0.6752570075417546
16 uniform-16 8 Circle 0.12500000000000014
16 uniform-16 10 RRG 0.75
16 uniform-16 10 Circle 0.12499999999999997
16 uniform-16 12 RRG 0.8308823529411763
16 uniform-16 12 Circle 0.12500000000000028
16 uniform-16 14 RRG 0.9374999999999998
16 uniform-16 14 Circle 0.1249999999999999
16 permutation-16 4 RRG 0.3852643429933123
16 permutation-16 4 Circle 0.125
16 permutation-16 6 RRG 0.430107163567736
16 permutation-16 6 Circle 0.125
16 permutation-16 8 RRG 0.45787165020574233
16 permutation-16 8 Circle 0.125
16 permutation-16 10 RRG 0.48109375
16 permutation-16 10 Circle 0.125
16 permutation-16 12 RRG 0.49544270833333337
16 permutation-16 12 Circle 0.125
16 permutation-16 14 RRG 0.5162946428571429
16 permutation-16 14 Circle 0.125
16 random-skewed-16 4 RRG 0.4411355049977373
16 random-skewed-16 4 Circle 0.1327766203729376
16 random-skewed-16 6 RRG 0.5091146002337942
16 random-skewed-16 6 Circle 0.13277662037293755
16 random-skewed-16 8 RRG 0.5628937975831325
16 random-skewed-16 8 Circle 0.13277662037292962
16 random-skewed-16 10 RRG 0.5896990637226807
16 random-skewed-16 10 Circle 0.13277662037293234
16 random-skewed-16 12 RRG 0.6145799032966253
16 random-skewed-16 12 Circle 0.13277662037293214
16 random-skewed-16 14 RRG 0.6294232141958643
16 random-skewed-16 14 Circle 0.13277662037293234
16 skew-16-0.1 4 RRG 0.4892084136925379
16 skew-16-0.1 4 Circle 0.1250000000000003
16 skew-16-0.1 6 RRG 0.5956267860629242
16 skew-16-0.1 6 Circle 0.12500000000000014
16 skew-16-0.1 8 RRG 0.678499762809645
16 skew-16-0.1 8 Circle 0.1250000000000003
16 skew-16-0.1 10 RRG 0.7413931396212875
16 skew-16-0.1 10 Circle 0.12500000000000006
16 skew-16-0.1 12 RRG 0.8012736078946997
16 skew-16-0.1 12 Circle 0.12500000000000014
16 skew-16-0.1 14 RRG 0.8699426990190245
16 skew-16-0.1 14 Circle 0.125
16 skew-16-0.2 4 RRG 0.4792879905005673
16 skew-16-0.2 4 Circle 0.12499999999999979
16 skew-16-0.2 6 RRG 0.5918064782628812
16 skew-16-0.2 6 Circle 0.1249999999999999
16 skew-16-0.2 8 RRG 0.6529427234521854
16 skew-16-0.2 8 Circle 0.12499999999999982
16 skew-16-0.2 10 RRG 0.7064505585615948
16 skew-16-0.2 10 Circle 0.12500000000000014
16 skew-16-0.2 12 RRG 0.7574949844157816
16 skew-16-0.2 12 Circle 0.12499999999999992
16 skew-16-0.2 14 RRG 0.8085981210369265
16 skew-16-0.2 14 Circle 0.12499999999999976
16 skew-16-0.3 4 RRG 0.4777328042522793
16 skew-16-0.3 4 Circle 0.12499999999999976
16 skew-16-0.3 6 RRG 0.5728278484237387
16 skew-16-0.3 6 Circle 0.12499999999999985
16 skew-16-0.3 8 RRG 0.6268209516310638
16 skew-16-0.3 8 Circle 0.12499999999999979
16 skew-16-0.3 10 RRG 0.6712480582435914
16 skew-16-0.3 10 Circle 0.12499999999999986
16 skew-16-0.3 12 RRG 0.7125533185457181
16 skew-16-0.3 12 Circle 0.12499999999999985
16 skew-16-0.3 14 RRG 0.7553340659258433
16 skew-16-0.3 14 Circle 0.12499999999999979
16 skew-16-0.4 4 RRG 0.47400252192646325
16 skew-16-0.4 4 Circle 0.125
16 skew-16-0.4 6 RRG 0.5329436313817192
16 skew-16-0.4 6 Circle 0.12500000000000003
16 skew-16-0.4 8 RRG 0.6046568018992089
16 skew-16-0.4 8 Circle 0.125
16 skew-16-0.4 10 RRG 0.6430075915682809
16 skew-16-0.4 10 Circle 0.125
16 skew-16-0.4 12 RRG 0.6728087696349971
16 skew-16-0.4 12 Circle 0.12500000000000003
16 skew-16-0.4 14 RRG 0.7077292464925432
16 skew-16-0.4 14 Circle 0.12499999999999989
16 skew-16-0.5 4 RRG 0.459330237021336
16 skew-16-0.5 4 Circle 0.1250000000000001
16 skew-16-0.5 6 RRG 0.513838734709206
16 skew-16-0.5 6 Circle 0.12499999999999986
16 skew-16-0.5 8 RRG 0.5758930716469434
16 skew-16-0.5 8 Circle 0.1250000000000001
16 skew-16-0.5 10 RRG 0.6067080227428937
16 skew-16-0.5 10 Circle 0.12500000000000003
16 skew-16-0.5 12 RRG 0.6381610458797603
16 skew-16-0.5 12 Circle 0.12499999999999986
16 skew-16-0.5 14 RRG 0.6670108570514448
16 skew-16-0.5 14 Circle 0.12499999999999988
16 skew-16-0.6 4 RRG 0.43896837363191976
16 skew-16-0.6 4 Circle 0.1250000000000001
16 skew-16-0.6 6 RRG 0.5101496873741139
16 skew-16-0.6 6 Circle 0.12500000000000025
16 skew-16-0.6 8 RRG 0.5508778030977997
16 skew-16-0.6 8 Circle 0.1250000000000001
16 skew-16-0.6 10 RRG 0.5758570710711103
16 skew-16-0.6 10 Circle 0.12500000000000008
16 skew-16-0.6 12 RRG 0.6014640463795947
16 skew-16-0.6 12 Circle 0.12500000000000025
16 skew-16-0.6 14 RRG 0.6302823634992889
16 skew-16-0.6 14 Circle 0.12499999999999985
16 skew-16-0.7 4 RRG 0.42668444067556355
16 skew-16-0.7 4 Circle 0.12500000000000025
16 skew-16-0.7 6 RRG 0.48365253827855426
16 skew-16-0.7 6 Circle 0.12500000000000014
16 skew-16-0.7 8 RRG 0.5195176910021388
16 skew-16-0.7 8 Circle 0.12500000000000025
16 skew-16-0.7 10 RRG 0.5488132941927376
16 skew-16-0.7 10 Circle 0.12499999999999978
16 skew-16-0.7 12 RRG 0.5729642973075142
16 skew-16-0.7 12 Circle 0.12500000000000014
16 skew-16-0.7 14 RRG 0.5976040310171942
16 skew-16-0.7 14 Circle 0.12499999999999989
16 skew-16-0.8 4 RRG 0.4086316519412927
16 skew-16-0.8 4 Circle 0.12499999999999985
16 skew-16-0.8 6 RRG 0.4704860132943022
16 skew-16-0.8 6 Circle 0.1250000000000002
16 skew-16-0.8 8 RRG 0.5033232278982254
16 skew-16-0.8 8 Circle 0.12499999999999985
16 skew-16-0.8 10 RRG 0.5264970867931298
16 skew-16-0.8 10 Circle 0.12499999999999997
16 skew-16-0.8 12 RRG 0.5426587106678908
16 skew-16-0.8 12 Circle 0.1250000000000002
16 skew-16-0.8 14 RRG 0.5670989696860598
16 skew-16-0.8 14 Circle 0.12499999999999993
16 skew-16-0.9 4 RRG 0.39918303742908723
16 skew-16-0.9 4 Circle 0.12499999999999992
16 skew-16-0.9 6 RRG 0.44475453191253356
16 skew-16-0.9 6 Circle 0.12500000000000022
16 skew-16-0.9 8 RRG 0.47761676686009924
16 skew-16-0.9 8 Circle 0.12499999999999992
16 skew-16-0.9 10 RRG 0.4955601139344917
16 skew-16-0.9 10 Circle 0.12499999999999997
16 skew-16-0.9 12 RRG 0.516618332326013
16 skew-16-0.9 12 Circle 0.12500000000000022
16 skew-16-0.9 14 RRG 0.5409270806830422
16 skew-16-0.9 14 Circle 0.12500000000000003
8 chessboard-8 2 Optimal 0.5357144713673285
8 chessboard-8 3 Optimal 0.6578947368421053
8 chessboard-8 4 Optimal 0.8333333333333334
8 chessboard-8 5 Optimal 0.8750000089748408
8 chessboard-8 6 Optimal 0.8653846228675646
8 chessboard-8 7 Optimal 0.8571429021236509
8 uniform-8 2 Optimal 0.5250001281335808
8 uniform-8 3 Optimal 0.6363636363636364
8 uniform-8 4 Optimal 0.7000000999434333
8 uniform-8 5 Optimal 0.777777790839229
8 uniform-8 6 Optimal 0.8750000129116507
8 uniform-8 7 Optimal 1.0
8 permutation-8 2 Optimal 1.0
8 permutation-8 3 Optimal 1.0
8 permutation-8 4 Optimal 1.0
8 permutation-8 5 Optimal 1.0
8 permutation-8 6 Optimal 1.0
8 permutation-8 7 Optimal 1.0
8 random-skewed-8 2 Optimal 0.6909356005480813
8 random-skewed-8 3 Optimal 0.8106182972333993
8 random-skewed-8 4 Optimal 0.8437805940580813
